"","Epiweek1","Epiweek2","Epiweek3","Epiweek4","Epiweek5","Epiweek6","Epiweek7","Epiweek8","Epiweek9","Epiweek10","Epiweek11","Epiweek12","Epiweek13","Epiweek14","Epiweek15","Epiweek16","Epiweek17","Epiweek18","Epiweek19","Epiweek20","Epiweek21","Epiweek22","Epiweek23","Epiweek24","Epiweek25","Epiweek26","Epiweek27","Epiweek28","Epiweek29","Epiweek30","Epiweek31","Epiweek32","Epiweek33","Epiweek34","Epiweek35","Epiweek36","Epiweek37","Epiweek38","Epiweek39","Epiweek40","Epiweek41","Epiweek42","Epiweek43","Epiweek44","Epiweek45","Epiweek46","Epiweek47","Epiweek48","Epiweek49","Epiweek50","Epiweek51","Epiweek52","country"
"41","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Costa Rica"
"42","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cote d'Ivoire"
"43","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Croatia"
"44","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba"
"45","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprus"
"46","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czech Republic"
"47","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Democratic Republic of Congo"
"48","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denmark"
"49","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Djibouti"
"50","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominica"
"51","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominican Republic"
"52","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador"
"53","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egypt"
"54","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Salvador"
"55","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"England"
"56","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eritrea"
"57","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estonia"
